experiment,fold,feature,importance
E4_LOOCV,6,next_receive_day_gap_feature,0.0
E4_LOOCV,6,receive_weekday_code,0.0
E4_LOOCV,6,receive_week_of_month,0.0
E4_LOOCV,6,receive_day_of_month,0.0
E4_LOOCV,7,cutoff_rule,0.0
E4_LOOCV,7,receive_day_code,0.0
E4_LOOCV,7,receive_schedule,0.5685689904524986
E4_LOOCV,7,receive_date_schedule_status,0.0
E4_LOOCV,7,receive_month_end_flag,0.0
E4_LOOCV,7,limited_receive_schedule_flag,0.0
E4_LOOCV,7,cutoff_value_feature,0.03282428804209939
E4_LOOCV,7,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,7,next_receive_day_gap_feature,0.0
E4_LOOCV,7,receive_weekday_code,0.0
E4_LOOCV,7,receive_week_of_month,0.0
E4_LOOCV,7,receive_day_of_month,0.0
E4_LOOCV,8,cutoff_rule,0.0
E4_LOOCV,8,receive_day_code,0.0
E4_LOOCV,8,receive_schedule,0.5685689904524986
E4_LOOCV,8,receive_date_schedule_status,0.0
E4_LOOCV,8,receive_month_end_flag,0.0
E4_LOOCV,8,limited_receive_schedule_flag,0.0
E4_LOOCV,8,cutoff_value_feature,0.0
E4_LOOCV,8,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,8,next_receive_day_gap_feature,0.0
E4_LOOCV,8,receive_weekday_code,0.0
E4_LOOCV,8,receive_week_of_month,0.0
E4_LOOCV,8,receive_day_of_month,0.032824288042099393
E4_LOOCV,9,cutoff_rule,0.0
E4_LOOCV,9,receive_day_code,0.0
E4_LOOCV,9,receive_schedule,0.5932810078322587
E4_LOOCV,9,receive_date_schedule_status,0.0
E4_LOOCV,9,receive_month_end_flag,0.022965441672838063
E4_LOOCV,9,limited_receive_schedule_flag,0.0
E4_LOOCV,9,cutoff_value_feature,0.0
E4_LOOCV,9,days_to_cutoff_feature,0.3837535504949033
E4_LOOCV,9,next_receive_day_gap_feature,0.0
E4_LOOCV,9,receive_weekday_code,0.0
E4_LOOCV,9,receive_week_of_month,0.0
E4_LOOCV,9,receive_day_of_month,0.0
E4_LOOCV,10,cutoff_rule,0.0
E4_LOOCV,10,receive_day_code,0.0
E4_LOOCV,10,receive_schedule,0.5685689904524986
E4_LOOCV,10,receive_date_schedule_status,0.0
E4_LOOCV,10,receive_month_end_flag,0.0
E4_LOOCV,10,limited_receive_schedule_flag,0.0
E4_LOOCV,10,cutoff_value_feature,0.03282428804209939
E4_LOOCV,10,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,10,next_receive_day_gap_feature,0.0
E4_LOOCV,10,receive_weekday_code,0.0
E4_LOOCV,10,receive_week_of_month,0.0
E4_LOOCV,10,receive_day_of_month,0.0
E4_LOOCV,11,cutoff_rule,0.0
E4_LOOCV,11,receive_day_code,0.5685689904524986
E4_LOOCV,11,receive_schedule,0.0
E4_LOOCV,11,receive_date_schedule_status,0.0
E4_LOOCV,11,receive_month_end_flag,0.0
E4_LOOCV,11,limited_receive_schedule_flag,0.0
E4_LOOCV,11,cutoff_value_feature,0.0
E4_LOOCV,11,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,11,next_receive_day_gap_feature,0.0
E4_LOOCV,11,receive_weekday_code,0.0
E4_LOOCV,11,receive_week_of_month,0.0
E4_LOOCV,11,receive_day_of_month,0.03282428804209939
E4_LOOCV,12,cutoff_rule,0.0
E4_LOOCV,12,receive_day_code,0.0
E4_LOOCV,12,receive_schedule,0.0
E4_LOOCV,12,receive_date_schedule_status,0.0
E4_LOOCV,12,receive_month_end_flag,0.0
E4_LOOCV,12,limited_receive_schedule_flag,0.5612591307470657
E4_LOOCV,12,cutoff_value_feature,0.0
E4_LOOCV,12,days_to_cutoff_feature,0.4061931200286757
E4_LOOCV,12,next_receive_day_gap_feature,0.0
