invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-1763,CUST307,2026-05-20,2026-05-20,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,25,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-1763
S202605-2484,CUST374,2026-05-20,2026-05-20,SAPX,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,7,NORMAL,LONG_TIME_TO_CUTOFF,26,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,7,7.0,0.0,7.0,0.0,S202605-2484
S202605-1769,CUST400,2026-05-20,2026-05-20,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,27,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-1769
93118518,CUST320,2026-05-20,2026-05-20,ROHMAN,H+2 in the next month,NEXT_MONTH_DATE,2.0,"1,2,3,4,5",Everyday,9,NORMAL,LONG_TIME_TO_CUTOFF,28,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-02,NEXT_MONTH_DATE; date in next month,9,9.0,2.0,9.0,0.0,93118518
S202605-2480,CUST109,2026-05-20,2026-05-20,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,HIGH,LIMITED_RECEIVE_DAY,29,Urgent,3,Wednesday,20,3,No,Yes,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2480
S202605-0745,CUST123,2026-05-20,2026-05-20,AMIT,End of month,END_MONTH,0.0,3,Wednesday,7,HIGH,LIMITED_RECEIVE_DAY,30,Urgent,3,Wednesday,20,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,7,7.0,0.0,7.0,0.0,S202605-0745
S202605-0030,CUST381,2026-05-20,2026-05-20,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MULTIPLE_MONTHLY_DATE,0.0,MISSING,Based on Schedule Payment,1,HIGH,CUTOFF_NEAR,31,Urgent,3,Wednesday,20,3,No,Yes,,UNKNOWN_RECEIVE_DAY,2026-05-21,MULTIPLE_MONTHLY_DATE; next listed date in receive month,1,1.0,0.0,1.0,-1.0,S202605-0030
S202605-1801,CUST276,2026-05-20,2026-05-20,AMIT,Max on 5th of the month,MONTHLY_DATE,5.0,"1,2,3","Monday, Tuesday, Wednesday",12,HIGH,LIMITED_RECEIVE_DAY,32,Urgent,3,Wednesday,20,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-06-05,MONTHLY_DATE; cutoff date selected from receive_date month or next month,12,12.0,5.0,12.0,0.0,S202605-1801
S202605-1319,CUST142,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,33,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-1319
S202605-2841,CUST367,2026-05-20,2026-05-20,ROHMAN,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,34,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2841
