invoice_no,customer_name,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,weekday_receive,expert_label,expert_reason,rule_based_label,rule_based_reason,cutoff_value_feature,receive_date_feature,receive_day_code_feature,next_receive_day_gap_derived,next_receive_day_gap_experiment,missed_receive_schedule_derived,missed_receive_schedule_experiment,month_end_flag_derived,month_end_flag_experiment,Prediction_RuleBased,RuleBased_RuleID,RuleBased_Reason,Experiment_Split,Prediction_DT
93118518,PT. SUMITOMO CONSTRUCTION MACHINERY,CUST320,2026-05-20,2026-05-20,ROHMAN,2 working days in next month,NEXT_MONTH_WORKDAY,2.0,"1,2,3,4,5",Everyday,10,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,2,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-2480,PT. HEXINDO ADIPERKASA TBK,CUST109,2026-05-20,2026-05-20,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-20,3,0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0745,PT. HONDA ACCESS INDONESIA,CUST123,2026-05-20,2026-05-20,AMIT,End of month,END_MONTH,0.0,3,Wednesday,8,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-20,3,0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-0030,PT. YAMAHA INDONESIA MOTOR MFG-HEAD OFF,CUST381,2026-05-20,2026-05-21,AMIT,"Every 11th ,12th, 21th,22th,28th,29th in every month",MULTIPLE_MONTHLY_DATE,,,Based on Schedule Payment,0,,No (On Schedule),,,HIGH,CUTOFF_TODAY,,,-1,2026-05-20,MISSING,,,,No (On Schedule),No,No,HIGH,R3,cutoff_rule != NO_CUTOFF dan days_to_cutoff = 0; hari observasi bertepatan dengan cutoff.,test,HIGH
S202605-1801,PT. PROBAN OSTBURG TRISAKTI,CUST276,2026-05-20,2026-05-20,AMIT,Max on 5th of the month,MONTHLY_DATE,5.0,"1,2,3","Monday, Tuesday, Wednesday",13,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,5,2026-05-20,"1,2,3",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,test,HIGH
S202605-1319,PT. INDONEKA LANCAR JAYA,CUST142,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2841,PT. TVS MOTOR COMPANY INDONESIA (FF),CUST367,2026-05-20,2026-05-20,ROHMAN,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2835,PT. ROKI INDONESIA,CUST283,2026-05-20,2026-05-20,ARI,3 days in next month (Bukan hari kerja),NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,11,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
S202605-2831,PT. ASTRA DAIHATSU MOTOR,CUST030,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-1781,PT. ATLAS PETROCHEM INDO,CUST034,2026-05-20,2026-05-20,AMIT,Max on 3rd in the month,MONTHLY_DATE,3.0,"1,2,3,4,5",Everyday,11,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,3,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
